id_cliente,nombre,tipo_cliente,RUC,DNI,direccion,distrito,provincia,departamento,telefono,telefono_alternativo,email,tipo_negocio,horario_atencion
cdfe947e-a9ff-4ec1-a8d7-dfa9bbd3a9dc,Ashley Rodriguez,persona_natural,44913896.0,81031099,"Unit 7737 Box 7976
DPO AP 01501",East Angelahaven,East Morganburgh,North Carolina,+1-278-008-1889x771,001-742-066-5466x9009,april47@gmail.com,Distribuidor,10:56:34 - 07:53:26
8eba7588-6ec8-418e-a690-158854429db9,Brenda Bernard,empresa,68420038857.0,15131183,"871 Sabrina Meadow
Port John, FL 28114",Jerryburgh,North Jesse,Nebraska,(989)238-6481,,nancymcdonald@jackson-shaw.com,Distribuidor,01:49:31 - 20:53:51
71f762be-6226-44cf-b103-08ffe1f7303a,Alexis Boone,persona_natural,,84430980,"943 Barrett Shores
North Cameron, ME 75478",New Heather,New Anthony,Hawaii,294-448-2161x0536,764-120-6447,michelle98@yahoo.com,Otro,18:34:57 - 01:45:30
fb4de9b3-3e13-45ad-8d29-2609d84d361f,Nicole Friedman,persona_natural,87001022920.0,3848374,"9722 Travis Way
New Michael, CO 63877",West Joshua,West Matthewborough,Idaho,113.503.3759x70844,,brianhawkins@gmail.com,Particular,17:20:05 - 23:00:04
7ec858e0-5c76-46c9-b51c-c1e95440a4f9,Nicholas Lopez,persona_natural,,53021617,"992 Jared Knolls Suite 365
Margaretport, RI 83376",Lake Mary,Hendrixtown,Texas,(728)289-2288,+1-594-205-6416x92729,cassandramckenzie@yahoo.com,Distribuidor,13:31:17 - 17:00:08
086a12a1-c283-4975-a85d-e9dab3664a23,Laura Olson,persona_natural,35563509140.0,10382822,"687 Lindsay Turnpike
West Samanthaberg, TX 72124",Lake Richardhaven,Diazborough,South Carolina,913.033.1737x159,717.480.9887,htodd@gmail.com,Otro,16:25:06 - 13:31:14
7d1d199f-739c-4e32-b858-9db4fc233aa8,Gregory Gamble,empresa,,53142532,"4643 Hess Inlet Suite 952
Kaylaborough, MT 97153",Amandaville,Ricardoberg,Colorado,+1-819-093-4003,,marshallbrandy@perez.net,Particular,09:33:50 - 08:08:56
26cb9dfe-cb46-4885-9f72-5442be79e022,Kenneth Wells,empresa,50878169614.0,86373220,"7807 Holland Lodge Suite 098
South Craig, NM 89160",Mortonburgh,Wrightside,Tennessee,(904)864-1229x59658,,qkelly@mendoza.biz,Particular,14:56:11 - 18:45:45
5c8ff230-904f-47e6-bb37-3451e71f805d,Joann Scott,empresa,73030371027.0,86006510,"467 Jake Isle
Valenciafurt, WI 85753",Ryanburgh,Kelleytown,Arizona,877.837.0957x782,,hansonjoseph@walker.com,Otro,07:24:41 - 11:36:35
7702f4d9-1ab9-406b-9817-e31322fde625,Scott Jones MD,empresa,,46679329,"USCGC Miller
FPO AA 59144",Allenburgh,Adamland,Mississippi,(163)653-9775,,marciapaul@gmail.com,Particular,19:45:15 - 12:33:23
7246d86b-9560-4a10-8ea0-8a8d8c28e0de,Kathryn Johnson,persona_natural,,1151927,"6159 Kyle Point
Valerieview, NE 59296",Kristinton,Berrystad,Arizona,735-959-2242,,adamstokes@day.com,Distribuidor,07:06:36 - 10:44:12
