id_conductor,DNI,nombre_conductor,telefono_conductor,email_conductor,direccion_conductor,estado_conductor,tipo_licencia,fecha_emision_licencia,fecha_vencimiento_licencia,fecha_nacimiento,genero,id_usuario
a54c4b42-9923-47e7-8aba-e9325623ebae,54468915,Luis Paz,970286435,luis.paz@email.com,"Av. Primavera 173, Lima",True,A,2020-07-01,2025-06-30,1979-08-17,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
d3811ddf-02d2-4fde-b0d1-bb1f557dbf61,30302065,Luis Rojas,962013610,luis.rojas@email.com,"Av. Los Olivos 759, Lima",True,A,2020-12-18,2025-12-17,1990-10-18,M,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f
deb4a3b1-2e39-42a3-933a-2a1711a23667,28334041,Jorge Mendoza,940600858,jorge.mendoza@email.com,"Jr. Tacna 380, Lima",True,A,2020-12-12,2025-12-11,1980-06-03,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
93fbf984-e408-462a-88a1-affd54191895,76197817,Miguel Rojas,987990609,miguel.rojas@email.com,"Av. La Marina 780, Lima",True,A,2020-02-15,2025-02-13,1975-05-26,M,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
f3fbcc02-b05b-4e8f-ad57-12064412eb76,34937702,Daniel Mendoza,931693091,daniel.mendoza@email.com,"Av. La Marina 370, Lima",True,A,2020-11-03,2025-11-02,1968-11-18,M,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
06002ddd-d9ce-4cce-927c-464747d822a8,25180108,Luis Castro,919024457,luis.castro@email.com,"Jr. Huancavelica 989, Lima",True,A,2020-07-28,2025-07-27,1965-11-28,M,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
5b3b740f-9cc0-4597-9b1b-12edc092cceb,54103694,Andrés Rojas,993959158,andrés.rojas@email.com,"Av. Arequipa 299, Lima",True,A,2020-08-02,2025-08-01,1989-08-27,M,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
8c917dc2-a964-4aff-868c-32761b884c36,28693090,Ricardo Méndez,920436747,ricardo.méndez@email.com,"Av. Los Olivos 124, Lima",True,A,2020-09-19,2025-09-18,1975-10-18,M,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f
c0260bcf-8e08-4ac0-a56a-7b62e055efe5,80805677,Andrés Mendoza,988764822,andrés.mendoza@email.com,"Jr. Huaraz 695, Lima",True,A,2020-06-07,2025-06-06,1998-04-09,M,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
5fac7de0-9f35-4748-af19-bb2ede9c2032,33552213,Miguel Méndez,974774741,miguel.méndez@email.com,"Jr. Ica 537, Lima",True,A,2020-12-13,2025-12-12,1983-06-18,M,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
07a671e9-c03a-411f-a4fe-e6e2851ecc12,60830105,Miguel Castro,993868552,miguel.castro@email.com,"Jr. Huancavelica 666, Lima",True,A,2020-01-23,2025-01-21,1988-02-11,M,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
5a4f2ddb-859e-4ffc-8cae-381aa12dd68d,66958277,Pedro Vargas,942920423,pedro.vargas@email.com,"Av. Venezuela 243, Lima",True,A,2020-11-19,2025-11-18,1981-10-12,M,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
21bd9c33-f2d7-437a-85de-2b61e11f34d4,46784544,Carlos Nuñez,920765686,carlos.nuñez@email.com,"Av. La Marina 172, Lima",True,A,2020-05-14,2025-05-13,1977-02-19,M,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
1e3ce60f-6e07-430b-b121-840ed38fdbde,97456379,Luis Paz,968805751,luis.paz@email.com,"Jr. Ica 919, Lima",True,A,2020-07-27,2025-07-26,1998-11-22,M,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
dcf242a3-5256-4bae-ad2a-2a3743823e1d,78000271,Luis Paz,967199991,luis.paz@email.com,"Jr. Huaraz 551, Lima",True,A,2020-09-02,2025-09-01,1980-08-14,M,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
5c0e6f22-3458-40db-91e6-5c876ae13497,89636131,Roberto Nuñez,944859482,roberto.nuñez@email.com,"Av. Brasil 394, Lima",True,A,2020-04-29,2025-04-28,1982-11-03,M,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
f31edf3f-817c-46ce-8cf3-654368942954,97389848,Ricardo Mendoza,957197543,ricardo.mendoza@email.com,"Av. Primavera 847, Lima",True,A,2020-12-08,2025-12-07,1991-06-02,M,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
640e7867-f902-4880-b002-c1bb0ab76a4e,38070846,Andrés Castro,923835171,andrés.castro@email.com,"Av. Brasil 431, Lima",True,A,2020-03-19,2025-03-18,1977-03-17,M,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f
d5652037-2f3c-41e7-98ff-b1940bb8ef5c,37811948,Miguel Castro,948033605,miguel.castro@email.com,"Av. Brasil 520, Lima",True,A,2020-06-22,2025-06-21,1984-11-23,M,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
b0c8bda2-93e5-4bbf-8a59-7061d4e607e0,17318639,Daniel Mendoza,954582503,daniel.mendoza@email.com,"Av. Venezuela 273, Lima",True,A,2020-11-04,2025-11-03,1996-07-28,M,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
07886808-c96d-4135-8f6d-d9fbcde4cdce,77956352,Daniel Mendoza,943642419,daniel.mendoza@email.com,"Av. La Marina 595, Lima",True,A,2020-05-25,2025-05-24,1998-09-02,M,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
d5d9b2c0-bb75-4713-911f-b59945f7ceb7,71942582,Carlos Paz,974207206,carlos.paz@email.com,"Jr. Huancavelica 384, Lima",True,A,2020-08-27,2025-08-26,1981-10-14,M,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
f19c223c-acd4-4b80-a6e3-bd68c40b3ab9,90171538,Miguel Paz,941570377,miguel.paz@email.com,"Av. La Marina 666, Lima",True,A,2020-07-21,2025-07-20,2000-04-11,M,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
52160457-2818-45c9-b9dc-f9d214fe90a0,63185613,Jorge Paz,962148219,jorge.paz@email.com,"Av. Los Olivos 673, Lima",True,A,2020-06-13,2025-06-12,1983-08-17,M,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
1228ff6e-f36f-45c8-96f2-f4e447ccc0d2,25638790,Ricardo Mendoza,999257739,ricardo.mendoza@email.com,"Av. Venezuela 326, Lima",True,A,2020-06-13,2025-06-12,1986-02-11,M,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
ab43ddc6-587d-4046-b62e-baa9c3b06404,82113897,Miguel Silva,965266426,miguel.silva@email.com,"Av. Brasil 370, Lima",True,A,2020-10-06,2025-10-05,1976-06-19,M,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d
18fb8b94-85ec-40f7-98ff-c54fc26ac7d1,30475755,Jorge Castro,951051289,jorge.castro@email.com,"Av. Primavera 890, Lima",True,A,2020-04-16,2025-04-15,1966-08-19,M,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
12298b23-bff9-4905-b5fb-3205fb684051,58698514,Ricardo Torres,942041895,ricardo.torres@email.com,"Jr. Ica 449, Lima",True,A,2020-07-06,2025-07-05,1985-02-23,M,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d
b8774043-d124-4578-8178-5bde83d1ec06,30507099,Fernando León,957082495,fernando.león@email.com,"Jr. Huancavelica 532, Lima",True,A,2020-06-15,2025-06-14,1989-09-27,M,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f
24aa65f5-44bb-4d54-a648-a1e3d2c7671a,75945319,Luis Silva,923468639,luis.silva@email.com,"Jr. Ica 554, Lima",True,A,2020-07-08,2025-07-07,1995-03-11,M,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
91babf5d-be10-44de-b62a-91109b349518,86416713,Jorge Paz,987682981,jorge.paz@email.com,"Av. Brasil 678, Lima",True,A,2020-07-30,2025-07-29,1981-03-25,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
93abb894-cf9d-4e0d-b516-2c8bc7450ba3,63326072,Roberto Paz,924675567,roberto.paz@email.com,"Jr. Ica 735, Lima",True,A,2020-12-22,2025-12-21,1967-06-04,M,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
f82e7527-9648-4565-b6f0-db1f29ea60ea,25519986,Daniel Mendoza,974410082,daniel.mendoza@email.com,"Jr. Ica 985, Lima",True,A,2020-05-16,2025-05-15,1978-05-03,M,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
0b7a5832-91bb-4784-993a-f1a648d7933b,21488632,Miguel Méndez,922566157,miguel.méndez@email.com,"Av. La Marina 762, Lima",True,A,2020-11-25,2025-11-24,1992-04-27,M,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f
6cdd99c9-6569-4a6c-890f-656eb0a1af7b,48544910,Ricardo Silva,924808843,ricardo.silva@email.com,"Jr. Huancavelica 928, Lima",True,A,2020-08-21,2025-08-20,1984-10-08,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
e116e9bf-7fa1-40e6-9629-a4d0ab1671e4,35666216,Jorge Rojas,914803375,jorge.rojas@email.com,"Jr. Huaraz 809, Lima",True,A,2020-01-18,2025-01-16,1983-05-09,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
9936f6df-093b-46c9-b338-37371acd1025,15048856,Daniel Méndez,913406286,daniel.méndez@email.com,"Av. La Marina 581, Lima",True,A,2020-12-24,2025-12-23,1982-07-14,M,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
1ab09ad5-0958-41a2-aa9e-af2a06556b82,29011076,Pedro Silva,998573211,pedro.silva@email.com,"Av. Brasil 433, Lima",True,A,2020-08-03,2025-08-02,1994-01-22,M,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f
e93d545a-f670-44f0-be5b-c416e6fc2f54,72276159,Carlos León,955593781,carlos.león@email.com,"Av. Arequipa 103, Lima",True,A,2020-01-16,2025-01-14,1987-10-25,M,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
5fcd2210-4f91-4bc6-b357-0b35e538f06c,48878185,Andrés Torres,998160368,andrés.torres@email.com,"Jr. Huaraz 125, Lima",True,A,2020-03-31,2025-03-30,1987-03-21,M,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
f5d6d6f2-21bf-4492-9b7d-29f678ec4538,19901107,Fernando Paz,939986001,fernando.paz@email.com,"Jr. Tacna 726, Lima",True,A,2020-07-10,2025-07-09,1965-12-22,M,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
fc45345b-0d9c-49e6-878e-7008e7a33246,10075805,Roberto Vargas,990554081,roberto.vargas@email.com,"Av. Arequipa 380, Lima",True,A,2020-10-22,2025-10-21,1966-01-09,M,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
f7ee75c7-b53f-4516-8085-372d81a90a20,90516673,Roberto Torres,994452501,roberto.torres@email.com,"Av. La Marina 891, Lima",True,A,2020-10-05,2025-10-04,1990-09-18,M,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
d04c25ab-22ee-454f-adc9-775a2536f0bd,69689074,Ricardo Silva,988993837,ricardo.silva@email.com,"Jr. Ica 910, Lima",True,A,2020-01-02,2024-12-31,2000-09-16,M,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f
8ee840f6-fcaf-4882-9ac0-904a927f410a,89073516,Fernando Méndez,958821815,fernando.méndez@email.com,"Jr. Huancavelica 597, Lima",True,A,2020-02-06,2025-02-04,1990-03-11,M,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
16acaa66-8da6-45c0-b058-01d14398e3b7,59399454,Jorge Torres,996409961,jorge.torres@email.com,"Jr. Ica 421, Lima",True,A,2020-12-05,2025-12-04,1985-04-15,M,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
bac23ff1-4f78-4d6d-b16b-930bcdaabf0e,85707571,Pedro Torres,947303418,pedro.torres@email.com,"Jr. Huancavelica 625, Lima",True,A,2020-11-28,2025-11-27,1970-08-22,M,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
718263d4-94e8-4953-9611-e1ccee95d878,10492632,Carlos Paz,993170724,carlos.paz@email.com,"Jr. Huancavelica 402, Lima",True,A,2020-07-31,2025-07-30,1983-06-05,M,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
e2360288-7113-4f8e-9891-e8a018ce87fd,51657801,Ricardo Torres,963203492,ricardo.torres@email.com,"Jr. Ica 258, Lima",True,A,2020-03-29,2025-03-28,1980-10-27,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
3f4b3e1c-f639-4b42-9ecc-09b3f63bc5bd,75933403,Andrés Méndez,983729859,andrés.méndez@email.com,"Jr. Ica 980, Lima",True,A,2020-01-08,2025-01-06,1987-03-08,M,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
48a6cf10-b7ad-4c1a-bc10-4dfe0ebbb600,68330777,Luis Méndez,949288102,luis.méndez@email.com,"Jr. Ica 211, Lima",True,A,2020-05-14,2025-05-13,2000-07-21,M,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
b558d57f-36fc-4fbe-bba0-568ca6b037bd,36104098,Andrés Vargas,947922182,andrés.vargas@email.com,"Jr. Tacna 507, Lima",True,A,2020-05-06,2025-05-05,1975-04-17,M,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
20fcc306-b53a-4af3-b0a5-81d04485f506,97419450,Carlos Silva,913634807,carlos.silva@email.com,"Av. Venezuela 301, Lima",True,A,2020-02-13,2025-02-11,1987-01-18,M,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d
8d6ceafc-c0dd-4230-a3ba-48d2524a3dcb,49509567,Pedro Silva,943474233,pedro.silva@email.com,"Av. Arequipa 400, Lima",True,A,2020-04-15,2025-04-14,1992-06-18,M,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
66f9ee3b-38b8-4547-bed1-66c5580502cc,93605797,Miguel León,937824878,miguel.león@email.com,"Av. La Marina 236, Lima",True,A,2020-09-13,2025-09-12,1995-12-06,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
eb361227-64b6-4623-9ec8-eaa18981f64e,69778085,Pedro Paz,913930362,pedro.paz@email.com,"Jr. Huancavelica 614, Lima",True,A,2020-08-21,2025-08-20,1985-01-18,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
be24270f-f129-44c6-9bdc-fb94c8d79b6a,22929610,Jorge Silva,942501316,jorge.silva@email.com,"Jr. Ica 720, Lima",True,A,2020-07-22,2025-07-21,1997-05-27,M,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
f1cf1c18-414d-49f1-acd6-a683b96098e0,87819045,Ricardo Torres,974308632,ricardo.torres@email.com,"Av. Venezuela 321, Lima",True,A,2020-05-29,2025-05-28,1975-07-12,M,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f
4282f3ce-ff11-4442-ad32-aff30ff3f8a4,47228182,Fernando Mendoza,945548611,fernando.mendoza@email.com,"Jr. Huancavelica 276, Lima",True,A,2020-02-22,2025-02-20,1966-08-02,M,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
dac5fff0-180a-4ae5-a3ab-b6b7045101f1,25859845,Ricardo Vargas,990943509,ricardo.vargas@email.com,"Jr. Ica 315, Lima",True,A,2020-03-22,2025-03-21,1986-06-15,M,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d
2d5aff55-dd0e-4f3a-bf54-74c851a5b05a,23519579,Roberto Torres,930193069,roberto.torres@email.com,"Av. Primavera 217, Lima",True,A,2020-04-10,2025-04-09,1983-01-19,M,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
ef576d1c-a0ea-4ae7-9b65-b05a00a09f01,32130879,Daniel Rojas,968005040,daniel.rojas@email.com,"Av. Venezuela 262, Lima",True,A,2020-03-04,2025-03-03,1992-02-14,M,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f
c950e3cb-cc16-4ea9-994f-34d94b674512,64652531,Miguel Paz,942293849,miguel.paz@email.com,"Jr. Tacna 458, Lima",True,A,2020-06-10,2025-06-09,1985-01-12,M,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
22ba1746-3796-4bf2-a3d8-dbdb2786d70a,24715825,Ricardo Mendoza,968846887,ricardo.mendoza@email.com,"Av. Primavera 314, Lima",True,A,2020-10-05,2025-10-04,1976-12-21,M,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
70d102f7-dd40-4b6c-af17-3e4b2da5e627,81925694,Roberto Vargas,944757644,roberto.vargas@email.com,"Av. La Marina 903, Lima",True,A,2020-05-10,2025-05-09,1995-03-18,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
b9b326a2-01bd-498e-a7c8-bde945be1704,73734701,Luis Nuñez,962113191,luis.nuñez@email.com,"Av. Venezuela 876, Lima",True,A,2020-07-25,2025-07-24,1988-11-01,M,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d
7773d9bb-8d40-4a76-a700-2aaafd025a8f,86660650,Roberto Silva,985328467,roberto.silva@email.com,"Jr. Tacna 509, Lima",True,A,2020-11-07,2025-11-06,1995-01-12,M,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
2470d151-b84f-45f8-9255-855dc0699745,21254449,Miguel León,994758504,miguel.león@email.com,"Av. Primavera 185, Lima",True,A,2020-09-01,2025-08-31,1980-12-01,M,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
f54d8abc-5e6a-4269-8f54-33312f2dd2ef,58437451,Fernando Vargas,948940821,fernando.vargas@email.com,"Av. Brasil 334, Lima",True,A,2020-12-11,2025-12-10,1966-03-28,M,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
d0e3fafb-c686-43e8-b545-bd9cfebe8b5e,80542602,Andrés León,949460855,andrés.león@email.com,"Av. Brasil 996, Lima",True,A,2020-05-29,2025-05-28,1968-05-18,M,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
af707dc9-7d6c-4510-904f-e57d62a37da1,80499809,Fernando Vargas,919373038,fernando.vargas@email.com,"Jr. Ica 536, Lima",True,A,2020-05-13,2025-05-12,1978-10-28,M,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
baa53019-d907-4933-bc8d-bd2d4026df6f,24625717,Jorge Paz,960362881,jorge.paz@email.com,"Jr. Tacna 120, Lima",True,A,2020-01-22,2025-01-20,1976-03-27,M,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
0ff7c0bb-39c9-44d2-a087-3a4f0fd82af3,48926701,Roberto Paz,994000154,roberto.paz@email.com,"Jr. Huancavelica 565, Lima",True,A,2020-01-04,2025-01-02,1982-03-27,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
6fe36965-c0b5-40e6-93af-1c3ef0c5508f,83041547,Pedro Rojas,960701571,pedro.rojas@email.com,"Av. Brasil 787, Lima",True,A,2020-04-24,2025-04-23,1968-05-24,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
23a2aad0-a0e1-491e-b4cc-8a628c70726f,24971362,Luis Castro,931446314,luis.castro@email.com,"Av. Los Olivos 668, Lima",True,A,2020-01-06,2025-01-04,1971-12-09,M,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
32c42443-644a-4062-9a0d-a2df0af42d6f,11328039,Carlos Silva,939844854,carlos.silva@email.com,"Jr. Ica 653, Lima",True,A,2020-05-20,2025-05-19,1967-09-27,M,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
6b2f2c0b-54ef-41c9-ad6c-d30b0b34a8b3,46102854,Luis Méndez,953359838,luis.méndez@email.com,"Av. Primavera 246, Lima",True,A,2020-07-30,2025-07-29,1985-04-01,M,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d
