cod_usuario,nombre_usuario,rol,contrasena
86f9af5b-77cc-453a-a682-b3191f4aebf3,wbarton,Cliente,LDsVu5^Y$1
2a7c70f5-15ab-4b21-ad81-8675acd0d0fc,xspencer,Cliente,)95Ooa$@M5
32b6c752-9d76-43be-8ba6-daeec1447206,xlee,Administrador,!a7lqI*oY1
0dbff12f-527d-4fc2-ab27-fa8c2808b5fb,mcmahonbrenda,Administrador,(y8OylFtlA
95edad29-1e36-4103-a43d-b94ff600f7a1,joanna97,Administrador,1c8XDNjO^m
b27adcfc-4762-4472-a348-629eeeb8b570,lcarrillo,Transportista,&$BjNBtyf2
02a320ab-cec0-4fe9-a41a-f7bb709f4d63,morganamber,Administrador,)3P28hEzPg
2219f29e-ac43-4270-809b-742d1591a86c,juanmeyer,Administrador,i&3JB+yt0v
f6d855fa-1213-4f6b-93f9-a181ccde7b40,moralessteven,Administrador,2^5fmHUpys
ffbbc9f3-8336-4ec5-8c54-ca244bffed40,patrick85,Cliente,Ve0e_0So+N
4888ca81-2007-48b1-af91-52eb04a7f726,chambersjulie,Administrador,#VJTxXy3T6
becbec6e-1c1d-4976-8856-b4bac0412d0c,wrivers,Transportista,YVlB1_cU(@
b675d77c-36b7-4bb5-82d7-54259d03851d,mathew46,Cliente,*!U7VTPuzi
4f540bfd-e8a0-44e0-a083-8ec48d46d71b,halljason,Transportista,hO#u3D&lyD
2e14c896-6f42-4410-adbc-fc4c436ee801,dbeck,Cliente,^%$5VscuW9
6a07fba9-7d0d-49d9-a24b-0a9d650538a0,hannah08,Administrador,TaM6LFEgd^
01e9d30b-36dd-4335-a1ac-e42cd2c49063,hgraham,Transportista,RGX)8GIgq4
552a3219-5f4d-4330-952e-bf309c0a1cf1,michellenguyen,Transportista,)cHcRtvh7g
7633ffa7-114f-4b63-98a1-ad6b68adda38,natalie98,Transportista,@v8z0Aos#)
89e53437-1f82-41a0-91ba-29d614d399e3,michele21,Administrador,)k1^DRex+1
b6377dd7-03eb-4360-ac4e-1272155a1ad7,bwalker,Administrador,%#e8Ojc2%f
24103711-30bd-473f-a8ba-8a139374930e,paulterri,Administrador,FRMdel9P%6
3a546119-121c-4acb-903f-ded278036b29,millerbrandon,Cliente,!2)FGl#OOo
472b428e-9968-4a02-b775-c023869b4a58,peter85,Administrador,%jQakGPlU7
319ef12f-00a2-419b-830d-5ee20141d438,andrew00,Cliente,)!ak3V5zi6
b62740fb-ee38-47a5-a018-431f4211b0f4,svaughn,Transportista,%gl3KIyy3+
47449636-fe44-488e-a471-5193e5968f65,tmclean,Transportista,whOK5XDv(2
